City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
187,Talas,TR,38.6908,35.5538,52.47,66,75,4.61,broken clouds
188,Tiksi,RU,71.6872,128.8694,-11.43,97,100,14.97,overcast clouds
189,Kazachinskoye,RU,57.6953,93.2761,3.16,90,100,7.25,overcast clouds
190,Blind River,CA,46.1834,-82.9582,30.31,73,80,24.11,broken clouds
191,Porto Nacional,BR,-10.7081,-48.4172,75.2,95,96,2.46,overcast clouds
192,Flinders,AU,-34.5833,150.8552,66.38,70,100,6.64,overcast clouds
193,Touros,BR,-5.1989,-35.4608,78.91,75,91,11.83,overcast clouds
194,Tangzhai,CN,34.4328,116.5911,35.83,14,89,4.27,overcast clouds
195,Coahuayana,MX,18.7333,-103.6833,73.98,92,72,2.71,broken clouds
196,Mujiayingzi,CN,42.1167,118.7833,13.69,30,0,11.92,clear sky
197,Portland,US,45.5234,-122.6762,41.81,92,100,10.0,overcast clouds
198,Koumac,NC,-20.5667,164.2833,82.71,75,100,4.76,overcast clouds
199,Itoman,JP,26.1247,127.6694,68.02,77,75,18.41,broken clouds
200,Methoni,GR,36.8197,21.7049,56.21,70,40,17.09,scattered clouds
201,At-Bashi,KG,41.1702,75.8106,25.79,67,17,1.63,few clouds
202,Amguri,IN,26.8,94.5333,79.36,47,1,3.96,clear sky
203,Lavrentiya,RU,65.5833,-171.0,21.38,89,97,2.37,overcast clouds
204,San Fernando,PH,15.0286,120.6898,92.93,63,88,15.14,overcast clouds
205,Nioro,GM,13.35,-15.75,73.15,25,81,6.02,broken clouds
206,Gorontalo,ID,0.5412,123.0595,81.66,81,100,2.04,overcast clouds
207,Bam,IR,29.106,58.357,67.96,22,0,6.08,clear sky
208,Hongjiang,CN,27.11,109.9956,31.69,87,100,4.12,light snow
209,Marawi,PH,7.9986,124.2928,72.88,93,100,4.59,light rain
210,Victoria,HK,22.2855,114.1577,64.26,75,67,15.01,broken clouds
211,Ahipara,NZ,-35.1667,173.1667,59.0,73,97,13.04,overcast clouds
